Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
1,Le'Veon Bell,PIT,RB,2,JAX,16,67,4.2,1,13,9,88,1,0,0,32,32
2,Leonard Fournette,JAX,RB,2,PIT,25,109,4.4,3,4,2,10,0,0,0,30.9,30.9
3,Derrick Henry,TEN,RB,1,KC,23,156,6.8,1,2,2,35,0,1,0,26.1,26.1
4,Christian McCaffrey,CAR,RB,1,NO,6,16,2.7,0,8,6,101,1,0,0,20.7,20.7
5,Corey Clement,PHI,RB,4,NE,3,8,2.7,0,5,4,100,1,0,0,18.8,18.8
6,Dion Lewis,NE,RB,2,TEN,15,62,4.1,0,10,9,79,0,0,0,18.6,18.6
7,Alvin Kamara,NO,RB,2,MIN,11,43,3.9,0,7,4,62,1,0,0,18.5,18.5
8,Jerick McKinnon,MIN,RB,3,PHI,10,40,4,0,12,11,86,0,0,0,18.1,18.1
9,James White,NE,RB,2,TEN,4,11,2.8,1,7,4,29,1,0,0,18,18
10,Leonard Fournette,JAX,RB,3,NE,24,76,3.2,1,3,2,13,0,0,0,15.9,15.9
11,TJ Yeldon,JAX,RB,2,PIT,5,20,4,1,3,3,57,0,0,0,15.2,15.2
12,LeGarrette Blount,PHI,RB,4,NE,14,90,6.4,1,0,0,0,0,0,0,15,15
13,LeSean McCoy,BUF,RB,1,JAX,19,75,3.9,0,8,6,44,0,0,0,14.9,14.9
14,Latavius Murray,MIN,RB,2,NO,19,50,2.6,1,2,2,17,0,0,0,13.7,13.7
15,James White,NE,RB,4,PHI,7,45,6.4,1,6,2,21,0,0,0,13.6,13.6
16,Devonta Freeman,ATL,RB,1,LAR,18,66,3.7,1,2,1,3,0,0,0,13.4,13.4
17,Todd Gurley,LAR,RB,1,ATL,14,101,7.2,0,10,4,10,0,0,0,13.1,13.1
18,Kareem Hunt,KC,RB,1,TEN,11,42,3.8,1,3,3,5,0,0,0,12.2,12.2
19,Devonta Freeman,ATL,RB,2,PHI,10,7,0.7,0,5,5,26,1,0,0,11.8,11.8
20,Jerick McKinnon,MIN,RB,2,NO,8,34,4.2,1,4,3,6,0,0,0,11.5,11.5
21,Jay Ajayi,PHI,RB,3,MIN,18,73,4.1,0,3,3,26,0,0,0,11.4,11.4
22,James White,NE,RB,3,JAX,3,4,1.3,1,5,3,22,0,0,0,10.1,10.1
23,Tevin Coleman,ATL,RB,2,PHI,10,79,7.9,0,1,1,14,0,0,0,9.8,9.8
23,Alvin Kamara,NO,RB,1,CAR,10,23,2.3,1,3,1,10,0,0,0,9.8,9.8
25,Jay Ajayi,PHI,RB,2,ATL,15,54,3.6,0,5,3,44,0,1,1,9.3,9.3
25,Leonard Fournette,JAX,RB,1,BUF,21,57,2.7,0,5,3,21,0,0,0,9.3,9.3
27,Brandon Bolden,NE,RB,2,TEN,4,27,6.8,1,0,0,0,0,0,0,8.7,8.7
28,Tevin Coleman,ATL,RB,1,LAR,14,40,2.9,0,3,3,28,0,0,0,8.3,8.3
29,LeGarrette Blount,PHI,RB,3,MIN,6,21,3.5,1,0,0,0,0,0,0,8.1,8.1
29,Dion Lewis,NE,RB,3,JAX,9,34,3.8,0,8,7,32,0,1,1,8.1,8.1
31,LeGarrette Blount,PHI,RB,2,ATL,9,19,2.1,1,0,0,0,0,0,0,7.9,7.9
31,Tommy Bohanon,JAX,FB,2,PIT,0,0,0,0,1,1,14,1,0,0,7.9,7.9
33,Corey Grant,JAX,RB,3,NE,1,2,2,0,3,3,59,0,0,0,7.6,7.6
34,Zach Line,NO,FB,1,CAR,1,1,1,1,1,1,7,0,0,0,7.3,7.3
35,Rex Burkhead,NE,RB,4,PHI,3,18,6,0,1,1,46,0,0,0,6.9,6.9
36,Derrick Henry,TEN,RB,2,NE,12,28,2.3,0,4,3,21,0,0,0,6.4,6.4
37,Corey Clement,PHI,RB,2,ATL,1,5,5,0,5,5,31,0,0,0,6.1,6.1
38,Jay Ajayi,PHI,RB,4,NE,9,57,6.3,0,0,0,0,0,0,0,5.7,5.7
39,Jonathan Stewart,CAR,RB,1,NO,11,51,4.6,0,0,0,0,0,0,0,5.1,5.1
40,TJ Yeldon,JAX,RB,3,NE,5,25,5,0,3,2,6,0,0,0,4.1,4.1
41,Mark Ingram,NO,RB,1,CAR,9,22,2.4,0,1,1,13,0,0,0,4,4
42,Dion Lewis,NE,RB,4,PHI,9,39,4.3,0,0,0,0,0,0,0,3.9,3.9
42,Latavius Murray,MIN,RB,3,PHI,6,18,3,0,2,2,11,0,0,0,3.9,3.9
44,Mark Ingram,NO,RB,2,MIN,10,25,2.5,0,1,1,3,0,0,0,3.3,3.3
44,Corey Clement,PHI,RB,3,MIN,2,20,10,0,1,1,8,0,0,0,3.3,3.3
46,Mike Tolbert,BUF,FB,1,JAX,4,15,3.8,0,1,1,10,0,0,0,3,3
47,Tommy Bohanon,JAX,FB,3,NE,0,0,0,0,1,1,20,0,0,0,2.5,2.5
48,Malcolm Brown,LAR,RB,1,ATL,2,14,7,0,0,0,0,0,0,0,1.4,1.4
49,Charcandrick West,KC,RB,1,TEN,0,0,0,0,2,2,1,0,0,0,1.1,1.1
50,CJ Ham,MIN,RB,2,NO,1,7,7,0,0,0,0,0,0,0,0.7,0.7
51,Rex Burkhead,NE,RB,3,JAX,1,5,5,0,1,0,0,0,0,0,0.5,0.5
52,Corey Grant,JAX,RB,1,BUF,1,3,3,0,0,0,0,0,0,0,0.3,0.3
52,Fozzy Whittaker,CAR,RB,1,NO,1,3,3,0,0,0,0,0,0,0,0.3,0.3
54,Chris Ivory,JAX,RB,1,BUF,1,2,2,0,1,0,0,0,0,0,0.2,0.2
55,Brandon Bolden,NE,RB,4,PHI,0,0,0,0,0,0,0,0,0,0,0,0
55,James Develin,NE,RB,4,PHI,0,0,0,0,1,0,0,0,0,0,0,0
55,Kenjon Barner,PHI,RB,4,NE,0,0,0,0,0,0,0,0,0,0,0,0
55,Kenjon Barner,PHI,RB,2,ATL,0,0,0,0,0,0,0,0,0,0,0,0
55,Derrick Coleman,ATL,FB,2,PHI,0,0,0,0,0,0,0,0,0,0,0,0
55,Terron Ward,ATL,RB,2,PHI,0,0,0,0,1,0,0,0,0,0,0,0
55,Corey Grant,JAX,RB,2,PIT,0,0,0,0,0,0,0,0,0,0,0,0
55,Fitzgerald Toussaint,PIT,RB,2,JAX,0,0,0,0,0,0,0,0,0,0,0,0
55,Roosevelt Nix,PIT,RB,2,JAX,0,0,0,0,0,0,0,0,0,0,0,0
55,Stevan Ridley,PIT,RB,2,JAX,0,0,0,0,0,0,0,0,0,0,0,0
55,DeMarco Murray,TEN,RB,2,NE,0,0,0,0,0,0,0,0,0,0,0,0
55,James Develin,NE,RB,2,TEN,0,0,0,0,0,0,0,0,0,0,0,0
55,David Fluellen,TEN,RB,2,NE,0,0,0,0,0,0,0,0,0,0,0,0
55,Trey Edmunds,NO,RB,2,MIN,0,0,0,0,0,0,0,0,0,0,0,0
55,Zach Line,NO,FB,2,MIN,0,0,0,0,0,0,0,0,0,0,0,0
55,Brandon Bolden,NE,RB,3,JAX,0,0,0,0,0,0,0,0,0,0,0,0
55,James Develin,NE,RB,3,JAX,0,0,0,0,0,0,0,0,0,0,0,0
55,CJ Ham,MIN,RB,3,PHI,0,0,0,0,0,0,0,0,0,0,0,0
55,Kenjon Barner,PHI,RB,3,MIN,0,0,0,0,0,0,0,0,0,0,0,0
55,Anthony Sherman,KC,FB,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0
55,David Fluellen,TEN,RB,1,KC,0,0,0,0,0,0,0,0,0,0,0,0
55,Terron Ward,ATL,RB,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0
55,Derrick Coleman,ATL,FB,1,LAR,0,0,0,0,0,0,0,0,0,0,0,0
55,Patrick DiMarco,BUF,FB,1,JAX,0,0,0,0,1,0,0,0,0,0,0,0
55,Tommy Bohanon,JAX,FB,1,BUF,0,0,0,0,1,0,0,0,0,0,0,0
55,Trey Edmunds,NO,RB,1,CAR,0,0,0,0,0,0,0,0,0,0,0,0
55,Alex Armah,CAR,RB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0
55,Cameron Artis-Payne,CAR,RB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0
